
Note: Compatibility modes selected: hs a


Circuit: * cml-driver-eye-mask @ tt_-40c_2.97v_742p5mbps -- generated by sim/harness, do not edit

Doing analysis at TEMP = -40.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
avcc                                       3.3
inp                                     2.5245
inn                                     1.6335
inref                                    0.891
comb1_0                                      0
comb0_0                                      0
comb1_1                                      0
comb0_1                                      0
comb1_2                                      0
comb0_2                                      0
comb1_3                                      0
comb0_3                                      0
comb1_4                                      0
comb0_4                                      0
comb1_5                                      0
comb0_5                                      0
comb1_6                                      0
comb0_6                                      0
comb1_7                                      0
comb0_7                                      0
xc0.xcore.tail__t186                    1.1198
xc0.xcore.ibias__t118                  1.13263
xc0.xcore.vss__t163                5.29584e-06
xc0.xcore.vss__t349                1.18801e-13
xc0.xcore.vss__t60                 5.10096e-06
xc0.xcore.ibias__t117                  1.13263
xc0.xcore.tail__t286                    1.1198
xc0.xcore.vss__t350                1.14429e-13
xc0.xcore.tail__t197                    1.1198
xc0.xcore.ibias__t140                  1.13263
xc0.xcore.vss__t174                4.90649e-06
xc0.xcore.vss__t351                1.10067e-13
xc0.xcore.vss__t68                 4.71247e-06
xc0.xcore.ibias__t133                  1.13263
xc0.xcore.tail__t294                    1.1198
xc0.xcore.vss__t352                1.05714e-13
xc0.xcore.tail__t193                    1.1198
xc0.xcore.ibias__t132                  1.13263
xc0.xcore.vss__t170                4.51897e-06
xc0.xcore.vss__t353                1.01373e-13
xc0.xcore.vss__t67                 4.32606e-06
xc0.xcore.ibias__t131                  1.13263
xc0.xcore.tail__t293                    1.1198
xc0.xcore.vss__t354                9.70456e-14
xc0.xcore.tail__t192                    1.1198
xc0.xcore.ibias__t130                  1.13263
xc0.xcore.vss__t169                4.13381e-06
xc0.xcore.vss__t355                9.27329e-14
xc0.xcore.vss__t74                 3.94233e-06
xc0.xcore.ibias__t145                  1.13263
xc0.xcore.tail__t300                    1.1198
xc0.xcore.vss__t356                8.84372e-14
xc0.xcore.tail__t191                    1.1198
xc0.xcore.ibias__t128                  1.13263
xc0.xcore.vss__t168                3.75172e-06
xc0.xcore.vss__t357                8.41614e-14
xc0.xcore.vss__t65                 3.56214e-06
xc0.xcore.ibias__t127                  1.13263
xc0.xcore.tail__t291                    1.1198
xc0.xcore.vss__t358                7.99085e-14
xc0.xcore.tail__t190                    1.1198
xc0.xcore.ibias__t126                  1.13263
xc0.xcore.vss__t167                3.37376e-06
xc0.xcore.vss__t359                7.56824e-14
xc0.xcore.vss__t64                 3.18678e-06
xc0.xcore.ibias__t125                  1.13263
xc0.xcore.tail__t290                    1.1198
xc0.xcore.vss__t360                 7.1488e-14
xc0.xcore.tail__t189                    1.1198
xc0.xcore.ibias__t124                  1.13263
xc0.xcore.vss__t166                3.00147e-06
xc0.xcore.vss__t361                 6.7331e-14
xc0.xcore.vss__t63                 2.81817e-06
xc0.xcore.ibias__t123                  1.13263
xc0.xcore.tail__t289                    1.1198
xc0.xcore.vss__t362                6.32189e-14
xc0.xcore.tail__t188                    1.1198
xc0.xcore.ibias__t122                  1.13263
xc0.xcore.vss__t165                2.63728e-06
xc0.xcore.vss__t363                 5.9161e-14
xc0.xcore.vss__t62                 2.45934e-06
xc0.xcore.ibias__t121                  1.13263
xc0.xcore.tail__t288                    1.1198
xc0.xcore.vss__t364                5.51694e-14
xc0.xcore.tail__t187                    1.1198
xc0.xcore.ibias__t120                  1.13263
xc0.xcore.vss__t164                2.28505e-06
xc0.xcore.vss__t365                5.12594e-14
xc0.xcore.vss__t26                 2.11529e-06
xc0.xcore.ibias__t0                    1.13263
xc0.xcore.tail__t252                    1.1198
xc0.xcore.vss__t366                4.74513e-14
xc0.xcore.tail__t175                    1.1198
xc0.xcore.ibias__t97                   1.13263
xc0.xcore.vss__t152                1.95126e-06
xc0.xcore.vss__t367                4.37717e-14
xc0.xcore.vss__t42                 1.79453e-06
xc0.xcore.ibias__t78                   1.13263
xc0.xcore.tail__t268                    1.1198
xc0.xcore.vss__t368                4.02559e-14
xc0.xcore.tail__t164                    1.1198
xc0.xcore.ibias__t77                   1.13263
xc0.xcore.vss__t141                1.64719e-06
xc0.xcore.vss__t369                3.69505e-14
xc0.xcore.vss__t37                 1.51197e-06
xc0.xcore.ibias__t70                   1.13263
xc0.xcore.tail__t263                    1.1198
xc0.xcore.vss__t370                3.39172e-14
xc0.xcore.tail__t167                    1.1198
xc0.xcore.ibias__t82                   1.13263
xc0.xcore.vss__t144                1.39242e-06
xc0.xcore.vss__t371                3.12354e-14
xc0.xcore.vss__t39                 1.29289e-06
xc0.xcore.ibias__t72                   1.13263
xc0.xcore.tail__t265                    1.1198
xc0.xcore.vss__t372                2.90027e-14
xc0.xcore.tail__t162                   1.11981
xc0.xcore.ibias__t73                   1.13263
xc0.xcore.vss__t139                 1.2183e-06
xc0.xcore.vss__t373                2.73295e-14
xc0.xcore.vss__t40                 1.17341e-06
xc0.xcore.ibias__t74                   1.13263
xc0.xcore.tail__t266                   1.11981
xc0.xcore.vss__t374                2.63225e-14
xc0.xcore.tail__t163                   1.11981
xc0.xcore.ibias__t75                   1.13263
xc0.xcore.vss__t140                1.16168e-06
xc0.xcore.vss__t375                2.60593e-14
xc0.xcore.vss__t41                 1.18408e-06
xc0.xcore.ibias__t76                   1.13263
xc0.xcore.tail__t267                   1.11981
xc0.xcore.vss__t376                2.65619e-14
xc0.xcore.tail__t129                   1.11981
xc0.xcore.ibias__t9                    1.13263
xc0.xcore.vss__t107                1.23877e-06
xc0.xcore.vss__t377                2.77887e-14
xc0.xcore.vss__t6                  1.32175e-06
xc0.xcore.ibias__t8                    1.13263
xc0.xcore.tail__t232                   1.11981
xc0.xcore.vss__t378                2.96501e-14
xc0.xcore.tail__t128                   1.11981
xc0.xcore.ibias__t7                    1.13263
xc0.xcore.vss__t106                1.42809e-06
xc0.xcore.vss__t379                3.20356e-14
xc0.xcore.vss__t5                    1.553e-06
xc0.xcore.ibias__t6                    1.13263
xc0.xcore.tail__t231                   1.11981
xc0.xcore.vss__t380                3.48377e-14
xc0.xcore.tail__t141                   1.11981
xc0.xcore.ibias__t31                   1.13263
xc0.xcore.vss__t119                1.69237e-06
xc0.xcore.vss__t381                3.79642e-14
xc0.xcore.vss__t4                  1.84293e-06
xc0.xcore.ibias__t5                    1.13263
xc0.xcore.tail__t230                   1.11981
xc0.xcore.vss__t382                4.13417e-14
xc0.xcore.tail__t158                   1.11981
xc0.xcore.ibias__t62                   1.13263
xc0.xcore.vss__t135                2.00215e-06
xc0.xcore.vss__t383                4.49136e-14
xc0.xcore.vss__t33                 2.16813e-06
xc0.xcore.ibias__t63                   1.13263
xc0.xcore.tail__t259                   1.11981
xc0.xcore.vss__t384                 4.8637e-14
xc0.xcore.tail__t159                   1.11981
xc0.xcore.ibias__t64                   1.13263
xc0.xcore.vss__t136                2.33943e-06
xc0.xcore.vss__t385                5.24797e-14
xc0.xcore.vss__t34                 2.51496e-06
xc0.xcore.ibias__t65                   1.13263
xc0.xcore.tail__t260                   1.11981
xc0.xcore.vss__t386                5.64173e-14
xc0.xcore.tail__t160                   1.11981
xc0.xcore.ibias__t66                   1.13263
xc0.xcore.vss__t137                2.69389e-06
xc0.xcore.vss__t387                6.04314e-14
xc0.xcore.vss__t35                 2.87559e-06
xc0.xcore.ibias__t67                   1.13263
xc0.xcore.tail__t261                   1.11981
xc0.xcore.vss__t388                6.45075e-14
xc0.xcore.tail__t161                   1.11981
xc0.xcore.ibias__t68                   1.13263
xc0.xcore.vss__t138                3.05957e-06
xc0.xcore.vss__t389                6.86347e-14
xc0.xcore.vss__t36                 3.24543e-06
xc0.xcore.ibias__t69                   1.13263
xc0.xcore.tail__t262                   1.11981
xc0.xcore.vss__t390                7.28043e-14
xc0.xcore.tail__t130                   1.11981
xc0.xcore.ibias__t10                   1.13263
xc0.xcore.vss__t108                3.43288e-06
xc0.xcore.vss__t391                7.70094e-14
xc0.xcore.vss__t13                 3.62166e-06
xc0.xcore.ibias__t23                   1.13263
xc0.xcore.tail__t239                   1.11981
xc0.xcore.vss__t392                8.12444e-14
xc0.xcore.tail__t137                   1.11981
xc0.xcore.ibias__t24                   1.13263
xc0.xcore.vss__t115                3.81158e-06
xc0.xcore.vss__t393                 8.5505e-14
xc0.xcore.vss__t14                 4.00247e-06
xc0.xcore.ibias__t25                   1.13263
xc0.xcore.tail__t240                   1.11981
xc0.xcore.vss__t394                8.97875e-14
xc0.xcore.tail__t138                   1.11981
xc0.xcore.ibias__t26                   1.13263
xc0.xcore.vss__t116                4.19421e-06
xc0.xcore.vss__t395                9.40889e-14
xc0.xcore.vss__t15                 4.38668e-06
xc0.xcore.ibias__t27                   1.13263
xc0.xcore.tail__t241                   1.11981
xc0.xcore.vss__t396                9.84067e-14
xc0.xcore.tail__t139                   1.11981
xc0.xcore.ibias__t28                   1.13263
xc0.xcore.vss__t117                4.57978e-06
xc0.xcore.vss__t397                1.02739e-13
xc0.xcore.vss__t16                 4.77345e-06
xc0.xcore.ibias__t29                   1.13263
xc0.xcore.tail__t242                   1.11981
xc0.xcore.vss__t398                1.07084e-13
xc0.xcore.tail__t140                   1.11981
xc0.xcore.ibias__t30                   1.13263
xc0.xcore.vss__t118                4.96762e-06
xc0.xcore.vss__t399                 1.1144e-13
xc0.xcore.vss__t21                 5.16222e-06
xc0.xcore.ibias__t41                   1.13263
xc0.xcore.tail__t247                   1.11981
xc0.xcore.vss__t400                1.15805e-13
xc0.xcore.tail__t142                   1.11981
xc0.xcore.ibias__t32                   1.13263
xc0.xcore.vss__t120                5.35722e-06
