
Note: Compatibility modes selected: hs a


Circuit: * cml-driver-eye @ ff_27c_3.30v_270mbps -- generated by sim/harness, do not edit

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
avcc                                       3.3
avcclo                                    2.97
avcchi                                    3.63
inp                                      2.805
inn                                      1.815
inpz                                     2.805
innz                                     1.815
inref                                     0.99
win                                          0
winc                                         0
xc0.xcore.tail__t186                   1.47115
xc0.xcore.ibias__t118                 0.995835
xc0.xcore.vss__t163                5.41356e-06
xc0.xcore.vss__t349                3.32627e-13
xc0.xcore.vss__t60                 5.21435e-06
xc0.xcore.ibias__t117                 0.995835
xc0.xcore.tail__t286                   1.47115
xc0.xcore.vss__t350                3.20387e-13
xc0.xcore.tail__t197                   1.47115
xc0.xcore.ibias__t140                 0.995835
xc0.xcore.vss__t174                5.01555e-06
xc0.xcore.vss__t351                3.08174e-13
xc0.xcore.vss__t68                 4.81722e-06
xc0.xcore.ibias__t133                 0.995835
xc0.xcore.tail__t294                   1.47115
xc0.xcore.vss__t352                2.95988e-13
xc0.xcore.tail__t193                   1.47115
xc0.xcore.ibias__t132                 0.995835
xc0.xcore.vss__t170                4.61942e-06
xc0.xcore.vss__t353                2.83835e-13
xc0.xcore.vss__t67                 4.42222e-06
xc0.xcore.ibias__t131                 0.995835
xc0.xcore.tail__t293                   1.47115
xc0.xcore.vss__t354                2.71719e-13
xc0.xcore.tail__t192                   1.47115
xc0.xcore.ibias__t130                 0.995835
xc0.xcore.vss__t169                 4.2257e-06
xc0.xcore.vss__t355                2.59645e-13
xc0.xcore.vss__t74                 4.02995e-06
xc0.xcore.ibias__t145                 0.995835
xc0.xcore.tail__t300                   1.47115
xc0.xcore.vss__t356                2.47618e-13
xc0.xcore.tail__t191                   1.47115
xc0.xcore.ibias__t128                 0.995835
xc0.xcore.vss__t168                3.83511e-06
xc0.xcore.vss__t357                2.35647e-13
xc0.xcore.vss__t65                 3.64132e-06
xc0.xcore.ibias__t127                 0.995835
xc0.xcore.tail__t291                   1.47116
xc0.xcore.vss__t358                 2.2374e-13
xc0.xcore.tail__t190                   1.47116
xc0.xcore.ibias__t126                 0.995835
xc0.xcore.vss__t167                3.44875e-06
xc0.xcore.vss__t359                2.11908e-13
xc0.xcore.vss__t64                 3.25761e-06
xc0.xcore.ibias__t125                 0.995835
xc0.xcore.tail__t290                   1.47116
xc0.xcore.vss__t360                2.00165e-13
xc0.xcore.tail__t189                   1.47116
xc0.xcore.ibias__t124                 0.995835
xc0.xcore.vss__t166                3.06819e-06
xc0.xcore.vss__t361                1.88526e-13
xc0.xcore.vss__t63                 2.88081e-06
xc0.xcore.ibias__t123                 0.995835
xc0.xcore.tail__t289                   1.47116
xc0.xcore.vss__t362                1.77013e-13
xc0.xcore.tail__t188                   1.47116
xc0.xcore.ibias__t122                 0.995835
xc0.xcore.vss__t165                 2.6959e-06
xc0.xcore.vss__t363                1.65651e-13
xc0.xcore.vss__t62                   2.514e-06
xc0.xcore.ibias__t121                 0.995835
xc0.xcore.tail__t288                   1.47116
xc0.xcore.vss__t364                1.54475e-13
xc0.xcore.tail__t187                   1.47116
xc0.xcore.ibias__t120                 0.995835
xc0.xcore.vss__t164                2.33583e-06
xc0.xcore.vss__t365                1.43528e-13
xc0.xcore.vss__t26                 2.16231e-06
xc0.xcore.ibias__t0                   0.995835
xc0.xcore.tail__t252                   1.47116
xc0.xcore.vss__t366                1.32866e-13
xc0.xcore.tail__t175                   1.47116
xc0.xcore.ibias__t97                  0.995835
xc0.xcore.vss__t152                1.99463e-06
xc0.xcore.vss__t367                1.22563e-13
xc0.xcore.vss__t42                 1.83442e-06
xc0.xcore.ibias__t78                  0.995835
xc0.xcore.tail__t268                   1.47116
xc0.xcore.vss__t368                1.12719e-13
xc0.xcore.tail__t164                   1.47116
xc0.xcore.ibias__t77                  0.995835
xc0.xcore.vss__t141                 1.6838e-06
xc0.xcore.vss__t369                1.03464e-13
xc0.xcore.vss__t37                 1.54558e-06
xc0.xcore.ibias__t70                  0.995835
xc0.xcore.tail__t263                   1.47116
xc0.xcore.vss__t370                9.49709e-14
xc0.xcore.tail__t167                   1.47116
xc0.xcore.ibias__t82                  0.995835
xc0.xcore.vss__t144                1.42337e-06
xc0.xcore.vss__t371                8.74619e-14
xc0.xcore.vss__t39                 1.32163e-06
xc0.xcore.ibias__t72                  0.995835
xc0.xcore.tail__t265                   1.47116
xc0.xcore.vss__t372                8.12105e-14
xc0.xcore.tail__t162                   1.47116
xc0.xcore.ibias__t73                  0.995835
xc0.xcore.vss__t139                1.24538e-06
xc0.xcore.vss__t373                7.65255e-14
xc0.xcore.vss__t40                 1.19949e-06
xc0.xcore.ibias__t74                  0.995835
xc0.xcore.tail__t266                   1.47116
xc0.xcore.vss__t374                7.37062e-14
xc0.xcore.tail__t163                   1.47116
xc0.xcore.ibias__t75                  0.995835
xc0.xcore.vss__t140                 1.1875e-06
xc0.xcore.vss__t375                7.29693e-14
xc0.xcore.vss__t41                  1.2104e-06
xc0.xcore.ibias__t76                  0.995835
xc0.xcore.tail__t267                   1.47116
xc0.xcore.vss__t376                7.43768e-14
xc0.xcore.tail__t129                   1.47116
xc0.xcore.ibias__t9                   0.995835
xc0.xcore.vss__t107                1.26631e-06
xc0.xcore.vss__t377                7.78124e-14
xc0.xcore.vss__t6                  1.35113e-06
xc0.xcore.ibias__t8                   0.995835
xc0.xcore.tail__t232                   1.47116
xc0.xcore.vss__t378                8.30247e-14
xc0.xcore.tail__t128                   1.47116
xc0.xcore.ibias__t7                   0.995835
xc0.xcore.vss__t106                1.45983e-06
xc0.xcore.vss__t379                8.97046e-14
xc0.xcore.vss__t5                  1.58752e-06
xc0.xcore.ibias__t6                   0.995835
xc0.xcore.tail__t231                   1.47116
xc0.xcore.vss__t380                9.75511e-14
xc0.xcore.tail__t141                   1.47116
xc0.xcore.ibias__t31                  0.995835
xc0.xcore.vss__t119                1.72999e-06
xc0.xcore.vss__t381                1.06306e-13
xc0.xcore.vss__t4                  1.88389e-06
xc0.xcore.ibias__t5                   0.995835
xc0.xcore.tail__t230                   1.47116
xc0.xcore.vss__t382                1.15764e-13
xc0.xcore.tail__t158                   1.47116
xc0.xcore.ibias__t62                  0.995835
xc0.xcore.vss__t135                2.04666e-06
xc0.xcore.vss__t383                1.25766e-13
xc0.xcore.vss__t33                 2.21632e-06
xc0.xcore.ibias__t63                  0.995835
xc0.xcore.tail__t259                   1.47116
xc0.xcore.vss__t384                1.36193e-13
xc0.xcore.tail__t159                   1.47116
xc0.xcore.ibias__t64                  0.995835
xc0.xcore.vss__t136                2.39143e-06
xc0.xcore.vss__t385                1.46953e-13
xc0.xcore.vss__t34                 2.57086e-06
xc0.xcore.ibias__t65                  0.995835
xc0.xcore.tail__t260                   1.47116
xc0.xcore.vss__t386                 1.5798e-13
xc0.xcore.tail__t160                   1.47116
xc0.xcore.ibias__t66                  0.995835
xc0.xcore.vss__t137                2.75377e-06
xc0.xcore.vss__t387                 1.6922e-13
xc0.xcore.vss__t35                  2.9395e-06
xc0.xcore.ibias__t67                  0.995835
xc0.xcore.tail__t261                   1.47117
xc0.xcore.vss__t388                1.80635e-13
xc0.xcore.tail__t161                   1.47117
xc0.xcore.ibias__t68                  0.995835
xc0.xcore.vss__t138                3.12757e-06
xc0.xcore.vss__t389                1.92192e-13
xc0.xcore.vss__t36                 3.31757e-06
xc0.xcore.ibias__t69                  0.995835
xc0.xcore.tail__t262                   1.47117
xc0.xcore.vss__t390                2.03868e-13
xc0.xcore.tail__t130                   1.47117
xc0.xcore.ibias__t10                  0.995835
xc0.xcore.vss__t108                3.50918e-06
xc0.xcore.vss__t391                2.15644e-13
xc0.xcore.vss__t13                 3.70216e-06
xc0.xcore.ibias__t23                  0.995835
xc0.xcore.tail__t239                   1.47117
xc0.xcore.vss__t392                2.27503e-13
xc0.xcore.tail__t137                   1.47117
xc0.xcore.ibias__t24                  0.995835
xc0.xcore.vss__t115                 3.8963e-06
xc0.xcore.vss__t393                2.39435e-13
xc0.xcore.vss__t14                 4.09144e-06
xc0.xcore.ibias__t25                  0.995835
xc0.xcore.tail__t240                   1.47117
xc0.xcore.vss__t394                2.51427e-13
xc0.xcore.tail__t138                   1.47117
xc0.xcore.ibias__t26                  0.995835
xc0.xcore.vss__t116                4.28744e-06
xc0.xcore.vss__t395                2.63472e-13
xc0.xcore.vss__t15                 4.48418e-06
xc0.xcore.ibias__t27                  0.995835
xc0.xcore.tail__t241                   1.47117
xc0.xcore.vss__t396                2.75564e-13
xc0.xcore.tail__t139                   1.47117
xc0.xcore.ibias__t28                  0.995835
xc0.xcore.vss__t117                4.68158e-06
xc0.xcore.vss__t397                2.87695e-13
xc0.xcore.vss__t16                 4.87956e-06
xc0.xcore.ibias__t29                  0.995835
xc0.xcore.tail__t242                   1.47117
xc0.xcore.vss__t398                2.99862e-13
xc0.xcore.tail__t140                   1.47117
xc0.xcore.ibias__t30                  0.995835
xc0.xcore.vss__t118                5.07804e-06
xc0.xcore.vss__t399                 3.1206e-13
xc0.xcore.vss__t21                 5.27697e-06
xc0.xcore.ibias__t41                  0.995835
xc0.xcore.tail__t247                   1.47117
xc0.xcore.vss__t400                3.24285e-13
xc0.xcore.tail__t142                   1.47117
xc0.xcore.ibias__t32                  0.995835
xc0.xcore.vss__t120                 5.4763e-06
xc0.xcore.vss__t401                3.36534e-13
xc0.xcore.vss__t17                 5.67599e-06
xc0.xcore.ibias__t33                  0.995835
xc0.xcore.tail__t243                   1.47117
xc0.xcore.vss__t402                3.48805e-13
xc0.xcore.tail__t143                   1.47117
